SEXO,EMPLEO_TELECOM,EMPLEO_RADIO,FECHA,ANIO,TRIM
Hombres,71987,50189,15/03/2005,2005,1
Mujeres,38791,24803,15/03/2005,2005,1
Hombres,74620,39249,15/06/2005,2005,2
Mujeres,37594,20860,15/06/2005,2005,2
Hombres,88893,33643,15/09/2005,2005,3
Mujeres,49592,20851,15/09/2005,2005,3
Hombres,94228,41406,15/12/2005,2005,4
Mujeres,52161,17126,15/12/2005,2005,4
Hombres,94408,44079,15/03/2006,2006,1
Mujeres,55246,20806,15/03/2006,2006,1
Hombres,85866,47451,15/06/2006,2006,2
Mujeres,55787,20709,15/06/2006,2006,2
Hombres,99480,48278,15/09/2006,2006,3
Mujeres,54272,21632,15/09/2006,2006,3
Hombres,103703,44991,15/12/2006,2006,4
Mujeres,55360,19661,15/12/2006,2006,4
Hombres,98169,42313,15/03/2007,2007,1
Mujeres,55175,23661,15/03/2007,2007,1
Hombres,81503,38470,15/06/2007,2007,2
Mujeres,51006,28774,15/06/2007,2007,2
Hombres,78925,45639,15/09/2007,2007,3
Mujeres,45068,24307,15/09/2007,2007,3
Hombres,90415,41175,15/12/2007,2007,4
Mujeres,55431,21054,15/12/2007,2007,4
Hombres,89757,37650,15/03/2008,2008,1
Mujeres,54904,28664,15/03/2008,2008,1
Hombres,112241,46133,15/06/2008,2008,2
Mujeres,60905,20036,15/06/2008,2008,2
Hombres,98456,49172,15/09/2008,2008,3
Mujeres,55763,26383,15/09/2008,2008,3
Hombres,101805,48980,15/12/2008,2008,4
Mujeres,68875,23105,15/12/2008,2008,4
Hombres,108138,48578,15/03/2009,2009,1
Mujeres,60488,26767,15/03/2009,2009,1
Hombres,101721,57740,15/06/2009,2009,2
Mujeres,61646,21096,15/06/2009,2009,2
Hombres,92636,58659,15/09/2009,2009,3
Mujeres,66166,29614,15/09/2009,2009,3
Hombres,98163,66062,15/12/2009,2009,4
Mujeres,56581,25230,15/12/2009,2009,4
Hombres,90526,63284,15/03/2010,2010,1
Mujeres,49785,27506,15/03/2010,2010,1
Hombres,104337,63708,15/06/2010,2010,2
