Anio,Delito,Variable_fuente,Tipo_cod,Tipo_desc,Delitos_total,Absolutos,Porcentaje
2010,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2012),1832944,1832944,100.0
2010,Extorsion,BP5_1,1,Telefónica,5485470,4868818,88.758447
2010,Extorsion,BP5_1,2,Laboral,5485470,74594,1.359847
2010,Extorsion,BP5_1,3,Por internet / correo electrónico,5485470,81965,1.49422
2010,Extorsion,BP5_1,4,En la calle,5485470,225693,4.114379
2010,Extorsion,BP5_1,5,En negocio propio o familiar,5485470,75436,1.375197
2010,Extorsion,BP5_1,6,Cobro de piso,5485470,12120,0.220947
2010,Extorsion,BP5_1,7,Otro,5485470,51188,0.933156
2010,Extorsion,BP5_1,9,No especificado / sin respuesta,5485470,95656,1.743807
2010,Fraude,BP4_1,1,Cheque falso o robado,1003742,19787,1.971323
2010,Fraude,BP4_1,2,Pago por servicio/producto no entregado (al consumidor),1003742,822639,81.957216
2010,Fraude,BP4_1,3,Tarjeta de débito o crédito,1003742,59425,5.920346
2010,Fraude,BP4_1,4,Por internet / correo electrónico,1003742,31951,3.183189
2010,Fraude,BP4_1,5,Otro,1003742,0,0.0
2010,Fraude,BP4_1,9,No especificado / sin respuesta,1003742,69940,6.967926
2010,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2012),724127,724127,100.0
2011,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2012),1752102,1752102,100.0
2011,Extorsion,BP5_1,1,Telefónica,4375640,3894150,88.996124
2011,Extorsion,BP5_1,2,Laboral,4375640,51196,1.170023
2011,Extorsion,BP5_1,3,Por internet / correo electrónico,4375640,1838,0.042005
2011,Extorsion,BP5_1,4,En la calle,4375640,212704,4.861095
2011,Extorsion,BP5_1,5,En negocio propio o familiar,4375640,61423,1.403749
2011,Extorsion,BP5_1,6,Cobro de piso,4375640,39888,0.911592
2011,Extorsion,BP5_1,7,Otro,4375640,55063,1.258399
2011,Extorsion,BP5_1,9,No especificado / sin respuesta,4375640,59378,1.357013
2011,Fraude,BP4_1,1,Cheque falso o robado,832275,36505,4.38617
2011,Fraude,BP4_1,2,Pago por servicio/producto no entregado (al consumidor),832275,659505,79.241236
2011,Fraude,BP4_1,3,Tarjeta de débito o crédito,832275,34703,4.169655
2011,Fraude,BP4_1,4,Por internet / correo electrónico,832275,31878,3.830224
2011,Fraude,BP4_1,5,Otro,832275,30225,3.631612
2011,Fraude,BP4_1,9,No especificado / sin respuesta,832275,39459,4.741101
2011,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2012),740477,740477,100.0
2012,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2854710,2854710,100.0
2012,Extorsion,BP5_1,1,Telefónica,5994034,5505341,91.84701
2012,Extorsion,BP5_1,2,Laboral,5994034,40998,0.68398
2012,Extorsion,BP5_1,3,Por internet / correo electrónico,5994034,23379,0.390038
2012,Extorsion,BP5_1,4,En la calle,5994034,182982,3.052735
2012,Extorsion,BP5_1,5,En negocio propio o familiar,5994034,65394,1.090985
2012,Extorsion,BP5_1,6,Cobro de piso,5994034,32623,0.544258
2012,Extorsion,BP5_1,7,Otro,5994034,48934,0.816378
2012,Extorsion,BP5_1,9,No especificado / sin respuesta,5994034,94383,1.574616
2012,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,2622599,32950,1.256387
2012,Fraude,BP4_1,2,Cheque falso o sin fondos,2622599,284161,10.835091
2012,Fraude,BP4_1,3,Dinero falso,2622599,1093589,41.698674
2012,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),2622599,914624,34.874718
2012,Fraude,BP4_1,5,Por internet/correo electrónico,2622599,55002,2.097233
2012,Fraude,BP4_1,6,Otro,2622599,169014,6.444523
2012,Fraude,BP4_1,9,No especificado / sin respuesta,2622599,73259,2.793374
2012,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),577716,577716,100.0
2013,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),3031965,3031965,100.0
2013,Extorsion,BP5_1,1,Telefónica,7794040,7323178,93.958692
2013,Extorsion,BP5_1,2,Laboral,7794040,43416,0.557041
2013,Extorsion,BP5_1,3,Por internet / correo electrónico,7794040,17266,0.221528
2013,Extorsion,BP5_1,4,En la calle,7794040,171406,2.199193
2013,Extorsion,BP5_1,5,En negocio propio o familiar,7794040,133761,1.716196
2013,Extorsion,BP5_1,6,Cobro de piso,7794040,22140,0.284063
2013,Extorsion,BP5_1,7,Otro,7794040,59202,0.75958
2013,Extorsion,BP5_1,9,No especificado / sin respuesta,7794040,23671,0.303706
2013,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,3169461,1764217,55.662998
2013,Fraude,BP4_1,2,Cheque falso o sin fondos,3169461,39658,1.251254
2013,Fraude,BP4_1,3,Dinero falso,3169461,216486,6.830373
2013,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),3169461,1077199,33.98682
2013,Fraude,BP4_1,5,Por internet/correo electrónico,3169461,47148,1.487572
2013,Fraude,BP4_1,6,Otro,3169461,17429,0.549904
2013,Fraude,BP4_1,9,No especificado / sin respuesta,3169461,7324,0.23108
2013,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),682238,682238,100.0
2014,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),3324903,3324903,100.0
2014,Extorsion,BP5_1,1,Telefónica,7969585,7546896,94.696223
2014,Extorsion,BP5_1,2,Laboral,7969585,34268,0.429985
2014,Extorsion,BP5_1,3,Por internet / correo electrónico,7969585,16294,0.204452
2014,Extorsion,BP5_1,4,En la calle,7969585,204662,2.568038
2014,Extorsion,BP5_1,5,En negocio propio o familiar,7969585,55188,0.692483
2014,Extorsion,BP5_1,6,Cobro de piso,7969585,31281,0.392505
2014,Extorsion,BP5_1,7,Otro,7969585,66733,0.837346
2014,Extorsion,BP5_1,9,No especificado / sin respuesta,7969585,14263,0.178968
2014,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,3442757,1814676,52.709965
2014,Fraude,BP4_1,2,Cheque falso o sin fondos,3442757,38733,1.125058
2014,Fraude,BP4_1,3,Dinero falso,3442757,326131,9.47296
2014,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),3442757,1143511,33.214979
2014,Fraude,BP4_1,5,Por internet/correo electrónico,3442757,49928,1.450233
2014,Fraude,BP4_1,6,Otro,3442757,33632,0.976891
2014,Fraude,BP4_1,9,No especificado / sin respuesta,3442757,36146,1.049914
2014,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),745170,745170,100.0
2015,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2340636,2340636,100.0
2015,Extorsion,BP5_1,1,Telefónica,7100878,6677177,94.033118
2015,Extorsion,BP5_1,2,Laboral,7100878,26780,0.377136
2015,Extorsion,BP5_1,3,Por internet / correo electrónico,7100878,2318,0.032644
2015,Extorsion,BP5_1,4,En la calle,7100878,213176,3.002108
2015,Extorsion,BP5_1,5,En negocio propio o familiar,7100878,40488,0.570183
2015,Extorsion,BP5_1,6,Cobro de piso,7100878,27611,0.388839
2015,Extorsion,BP5_1,7,Otro,7100878,67856,0.9556
2015,Extorsion,BP5_1,9,No especificado / sin respuesta,7100878,45472,0.640372
2015,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,3225165,1529623,47.427744
2015,Fraude,BP4_1,2,Cheque falso o sin fondos,3225165,14365,0.445404
2015,Fraude,BP4_1,3,Dinero falso,3225165,493092,15.288892
2015,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),3225165,1089451,33.779698
2015,Fraude,BP4_1,5,Por internet/correo electrónico,3225165,40459,1.254478
2015,Fraude,BP4_1,6,Otro,3225165,28457,0.882342
2015,Fraude,BP4_1,9,No especificado / sin respuesta,3225165,29718,0.921441
2015,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),629151,629151,100.0
2016,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2409065,2409065,100.0
2016,Extorsion,BP5_1,1,Telefónica,7503477,7170019,95.555954
2016,Extorsion,BP5_1,2,Laboral,7503477,29811,0.397296
2016,Extorsion,BP5_1,3,Por internet / correo electrónico,7503477,9217,0.122836
2016,Extorsion,BP5_1,4,En la calle,7503477,156105,2.080436
2016,Extorsion,BP5_1,5,En negocio propio o familiar,7503477,55688,0.742163
2016,Extorsion,BP5_1,6,Cobro de piso,7503477,19403,0.258587
2016,Extorsion,BP5_1,7,Otro,7503477,52272,0.696637
2016,Extorsion,BP5_1,9,No especificado / sin respuesta,7503477,10962,0.146092
2016,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,3906132,1683733,43.104867
2016,Fraude,BP4_1,2,Cheque falso o sin fondos,3906132,28339,0.7255
2016,Fraude,BP4_1,3,Dinero falso,3906132,734872,18.813292
2016,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),3906132,1304484,33.395799
2016,Fraude,BP4_1,5,Por internet/correo electrónico,3906132,59407,1.520865
2016,Fraude,BP4_1,6,Otro,3906132,29041,0.743472
2016,Fraude,BP4_1,9,No especificado / sin respuesta,3906132,66256,1.696205
2016,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),817975,817975,100.0
2017,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2837151,2837151,100.0
2017,Extorsion,BP5_1,1,Telefónica,6590728,6139618,93.155384
2017,Extorsion,BP5_1,2,Laboral,6590728,19650,0.298146
2017,Extorsion,BP5_1,3,Por internet / correo electrónico,6590728,6356,0.096439
2017,Extorsion,BP5_1,4,En la calle,6590728,243583,3.695844
2017,Extorsion,BP5_1,5,En negocio propio o familiar,6590728,73141,1.109756
2017,Extorsion,BP5_1,6,Cobro de piso,6590728,20485,0.310815
2017,Extorsion,BP5_1,7,Otro,6590728,71887,1.090729
2017,Extorsion,BP5_1,9,No especificado / sin respuesta,6590728,16008,0.242887
2017,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,4560683,1852462,40.618083
2017,Fraude,BP4_1,2,Cheque falso o sin fondos,4560683,36310,0.796153
2017,Fraude,BP4_1,3,Dinero falso,4560683,683700,14.991176
2017,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),4560683,1763256,38.662104
2017,Fraude,BP4_1,5,Por internet/correo electrónico,4560683,116769,2.56034
2017,Fraude,BP4_1,6,Otro,4560683,70005,1.534967
2017,Fraude,BP4_1,9,No especificado / sin respuesta,4560683,38181,0.837177
2017,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),1244240,1244240,100.0
2018,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2842523,2842523,100.0
2018,Extorsion,BP5_1,1,Telefónica,5716346,5235399,91.586461
2018,Extorsion,BP5_1,2,Laboral,5716346,72542,1.269027
2018,Extorsion,BP5_1,3,Por internet / correo electrónico,5716346,28330,0.495596
2018,Extorsion,BP5_1,4,En la calle,5716346,206087,3.605223
2018,Extorsion,BP5_1,5,En negocio propio o familiar,5716346,46689,0.816763
2018,Extorsion,BP5_1,6,Cobro de piso,5716346,18559,0.324665
2018,Extorsion,BP5_1,7,Otro,5716346,79132,1.384311
2018,Extorsion,BP5_1,9,No especificado / sin respuesta,5716346,29608,0.517953
2018,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,4716073,2034442,43.138476
2018,Fraude,BP4_1,2,Cheque falso o sin fondos,4716073,19105,0.405104
2018,Fraude,BP4_1,3,Dinero falso,4716073,302336,6.410757
2018,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),4716073,2093200,44.384385
2018,Fraude,BP4_1,5,Por internet/correo electrónico,4716073,209658,4.445605
2018,Fraude,BP4_1,6,Otro,4716073,40906,0.867374
2018,Fraude,BP4_1,9,No especificado / sin respuesta,4716073,16426,0.348298
2018,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),1322218,1322218,100.0
2019,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2779312,2779312,100.0
2019,Extorsion,BP5_1,1,Telefónica,4617275,4103683,88.876729
2019,Extorsion,BP5_1,2,Laboral,4617275,59496,1.288552
2019,Extorsion,BP5_1,3,Por internet / correo electrónico,4617275,30568,0.662036
2019,Extorsion,BP5_1,4,En la calle,4617275,216676,4.692725
2019,Extorsion,BP5_1,5,En negocio propio o familiar,4617275,87798,1.901511
2019,Extorsion,BP5_1,6,Cobro de piso,4617275,33625,0.728243
2019,Extorsion,BP5_1,7,Otro,4617275,50786,1.099913
2019,Extorsion,BP5_1,9,No especificado / sin respuesta,4617275,34643,0.750291
2019,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,4576819,1961679,42.861188
2019,Fraude,BP4_1,2,Cheque falso o sin fondos,4576819,30724,0.671296
2019,Fraude,BP4_1,3,Dinero falso,4576819,304691,6.657266
2019,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),4576819,1988321,43.443295
2019,Fraude,BP4_1,5,Por internet/correo electrónico,4576819,208360,4.552507
2019,Fraude,BP4_1,6,Otro,4576819,61362,1.340713
2019,Fraude,BP4_1,9,No especificado / sin respuesta,4576819,21682,0.473735
2019,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2374861,2374861,100.0
2020,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2672001,2672001,100.0
2020,Extorsion,BP5_1,1,Telefónica,4660898,4229131,90.736399
2020,Extorsion,BP5_1,2,Laboral,4660898,30393,0.652085
2020,Extorsion,BP5_1,3,Por internet / correo electrónico,4660898,29963,0.642859
2020,Extorsion,BP5_1,4,En la calle,4660898,182199,3.909096
2020,Extorsion,BP5_1,5,En negocio propio o familiar,4660898,53911,1.156666
2020,Extorsion,BP5_1,6,Cobro de piso,4660898,29102,0.624386
2020,Extorsion,BP5_1,7,Otro,4660898,75182,1.613037
2020,Extorsion,BP5_1,9,No especificado / sin respuesta,4660898,31017,0.665473
2020,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,5332430,2315360,43.420354
2020,Fraude,BP4_1,2,Cheque falso o sin fondos,5332430,21857,0.409888
2020,Fraude,BP4_1,3,Dinero falso,5332430,424673,7.963968
2020,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),5332430,2249707,42.189152
2020,Fraude,BP4_1,5,Por internet/correo electrónico,5332430,215976,4.050236
2020,Fraude,BP4_1,6,Otro,5332430,85278,1.599233
2020,Fraude,BP4_1,9,No especificado / sin respuesta,5332430,19579,0.367168
2020,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),1541122,1541122,100.0
2021,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2578845,2578845,100.0
2021,Extorsion,BP5_1,1,Telefónica,4910206,4432202,90.265093
2021,Extorsion,BP5_1,2,Laboral,4910206,24434,0.497617
2021,Extorsion,BP5_1,3,Por internet / correo electrónico,4910206,33064,0.673373
2021,Extorsion,BP5_1,4,En la calle,4910206,221064,4.502133
2021,Extorsion,BP5_1,5,En negocio propio o familiar,4910206,38177,0.777503
2021,Extorsion,BP5_1,6,Cobro de piso,4910206,65677,1.337561
2021,Extorsion,BP5_1,7,Otro,4910206,83051,1.691395
2021,Extorsion,BP5_1,9,No especificado / sin respuesta,4910206,12537,0.255325
2021,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,5395988,2342027,43.403117
2021,Fraude,BP4_1,2,Cheque falso o sin fondos,5395988,22510,0.417162
2021,Fraude,BP4_1,3,Dinero falso,5395988,321040,5.949606
2021,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),5395988,2435274,45.131197
2021,Fraude,BP4_1,5,Por internet/correo electrónico,5395988,201576,3.735664
2021,Fraude,BP4_1,6,Otro,5395988,71371,1.322668
2021,Fraude,BP4_1,9,No especificado / sin respuesta,5395988,2190,0.040586
2021,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),1998457,1998457,100.0
2022,Amenazas,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),2757624,2757624,100.0
2022,Extorsion,BP5_1,1,Telefónica,4726724,4258130,90.086284
2022,Extorsion,BP5_1,2,Laboral,4726724,32512,0.687834
2022,Extorsion,BP5_1,3,Por internet / correo electrónico,4726724,51623,1.092152
2022,Extorsion,BP5_1,4,En la calle,4726724,249201,5.272172
2022,Extorsion,BP5_1,5,En negocio propio o familiar,4726724,36574,0.773771
2022,Extorsion,BP5_1,6,Cobro de piso,4726724,33211,0.702622
2022,Extorsion,BP5_1,7,Otro,4726724,59999,1.269357
2022,Extorsion,BP5_1,9,No especificado / sin respuesta,4726724,5474,0.11581
2022,Fraude,BP4_1,1,Pago por un servicio/producto no entregado,5394290,2361782,43.783
2022,Fraude,BP4_1,2,Cheque falso o sin fondos,5394290,20124,0.373061
2022,Fraude,BP4_1,3,Dinero falso,5394290,269658,4.998953
2022,Fraude,BP4_1,4,Tarjeta de débito o crédito (Bancario),5394290,2441178,45.254853
2022,Fraude,BP4_1,5,Por internet/correo electrónico,5394290,243215,4.508749
2022,Fraude,BP4_1,6,Otro,5394290,54316,1.006917
2022,Fraude,BP4_1,9,No especificado / sin respuesta,5394290,4017,0.074468
2022,Hostigamiento,N/A,N/A,Sin desglose (pregunta no captada antes de 2023),1793600,1793600,100.0
2023,Amenazas,BP1_5,1,Presencial (persona conocida),3146232,1367722,43.471747
2023,Amenazas,BP1_5,2,Presencial (persona desconocida),3146232,983978,31.274807
2023,Amenazas,BP1_5,3,Llamada telefónica,3146232,374156,11.892194
2023,Amenazas,BP1_5,4,Internet / correo electrónico / redes sociales,3146232,91125,2.896322
2023,Amenazas,BP1_5,5,"Escrito (carta, recado)",3146232,151192,4.805494
2023,Amenazas,BP1_5,6,En el trabajo o escuela,3146232,51904,1.649719
2023,Amenazas,BP1_5,7,En el vecindario / colonia,3146232,25154,0.799496
2023,Amenazas,BP1_5,8,Por parte de familiar o amigo,3146232,97033,3.084102
2023,Amenazas,BP1_5,9,Otro,3146232,3968,0.126119
2023,Extorsion,BP5_1,1,Telefónica,4902122,4194543,85.565863
2023,Extorsion,BP5_1,2,Laboral,4902122,48198,0.983207
2023,Extorsion,BP5_1,3,Por internet / correo electrónico,4902122,88319,1.801648
2023,Extorsion,BP5_1,4,En la calle,4902122,342993,6.996827
2023,Extorsion,BP5_1,5,En negocio propio o familiar,4902122,83721,1.707852
2023,Extorsion,BP5_1,6,Cobro de piso,4902122,36381,0.742148
2023,Extorsion,BP5_1,7,Otro,4902122,65073,1.327446
2023,Extorsion,BP5_1,9,No especificado / sin respuesta,4902122,42894,0.875009
2023,Fraude,BP4_1,1,Bancario (tarjeta / cuenta),6547223,3202141,48.908385
2023,Fraude,BP4_1,2,Dinero falso,6547223,18511,0.282731
2023,Fraude,BP4_1,3,Servicios o mercancías no recibidas,6547223,264969,4.047044
2023,Fraude,BP4_1,4,Vendedor a domicilio / por internet,6547223,2663873,40.687067
2023,Fraude,BP4_1,5,Otro fraude electrónico / telefonía,6547223,329826,5.037647
2023,Fraude,BP4_1,6,Compraventa de bien o servicio,6547223,60149,0.918695
2023,Fraude,BP4_1,9,Otro,6547223,7754,0.118432
2023,Hostigamiento,BP7_1,1,Internet / redes sociales / correo electrónico,2285064,91320,3.996387
2023,Hostigamiento,BP7_1,2,Presencial (persona conocida),2285064,1445014,63.237354
2023,Hostigamiento,BP7_1,3,En la calle (persona desconocida),2285064,624474,27.328512
2023,Hostigamiento,BP7_1,4,En el trabajo / escuela,2285064,121483,5.316394
2023,Hostigamiento,BP7_1,9,Otro,2285064,2773,0.121353
2024,Amenazas,BP1_5,1,Presencial (persona conocida),4485971,1488926,33.190718
2024,Amenazas,BP1_5,2,Presencial (persona desconocida),4485971,1769296,39.440647
2024,Amenazas,BP1_5,3,Llamada telefónica,4485971,651301,14.518618
2024,Amenazas,BP1_5,4,Internet / correo electrónico / redes sociales,4485971,116984,2.607774
2024,Amenazas,BP1_5,5,"Escrito (carta, recado)",4485971,254866,5.681401
2024,Amenazas,BP1_5,6,En el trabajo o escuela,4485971,34631,0.771984
2024,Amenazas,BP1_5,7,En el vecindario / colonia,4485971,27883,0.62156
2024,Amenazas,BP1_5,8,Por parte de familiar o amigo,4485971,139309,3.105437
2024,Amenazas,BP1_5,9,Otro,4485971,2775,0.06186
2024,Extorsion,BP5_1,1,Telefónica,5719981,595196,10.405559
2024,Extorsion,BP5_1,2,Laboral,5719981,982361,17.1742
2024,Extorsion,BP5_1,3,Por internet / correo electrónico,5719981,4142424,72.420241
2024,Extorsion,BP5_1,4,En la calle,5719981,0,0.0
2024,Extorsion,BP5_1,5,En negocio propio o familiar,5719981,0,0.0
2024,Extorsion,BP5_1,6,Cobro de piso,5719981,0,0.0
2024,Extorsion,BP5_1,7,Otro,5719981,0,0.0
2024,Extorsion,BP5_1,9,No especificado / sin respuesta,5719981,0,0.0
2024,Fraude,BP4_1,1,Bancario (tarjeta / cuenta),7255689,3511814,48.400834
2024,Fraude,BP4_1,2,Dinero falso,7255689,13253,0.182657
2024,Fraude,BP4_1,3,Servicios o mercancías no recibidas,7255689,211590,2.916194
