anio,seccion,delito,modalidad_comision,cuest_modulo_envipe_7,cuest_modulo_envipe2025_2,estimacion,porcentaje,total_delito
2010,SECCIÓN IV. FRAUDE,Fraude,Clonación de tarjeta o fraude bancario (BPCOD 06),NA,NA,1010803,50.1753,2014545
2010,SECCIÓN IV. FRAUDE,Fraude,Cheque falso,4.1 ¿Qué tipo de fraude fue?,NA,19787,0.9822,2014545
2010,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,822639,40.835,2014545
2010,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,59425,2.9498,2014545
2010,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,31951,1.586,2014545
2010,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,69940,3.4718,2014545
2010,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,4868818,88.7584,5485470
2010,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,74594,1.3598,5485470
2010,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,81965,1.4942,5485470
2010,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,225693,4.1144,5485470
2010,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,75436,1.3752,5485470
2010,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,12120,0.2209,5485470
2010,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,51188,0.9332,5485470
2010,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,95656,1.7438,5485470
2011,SECCIÓN IV. FRAUDE,Fraude,Clonación de tarjeta o fraude bancario (BPCOD 06),NA,NA,1102434,56.9819,1934709
2011,SECCIÓN IV. FRAUDE,Fraude,Cheque falso,4.1 ¿Qué tipo de fraude fue?,NA,36505,1.8868,1934709
2011,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,659505,34.0881,1934709
2011,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,34703,1.7937,1934709
2011,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,31878,1.6477,1934709
2011,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,30225,1.5623,1934709
2011,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,39459,2.0395,1934709
2011,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,3894150,88.9961,4375640
2011,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,51196,1.17,4375640
2011,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,1838,0.042,4375640
2011,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,212704,4.8611,4375640
