Anio,BPCOD,Delito,Variable_Usada,Modalidad,Delitos_total,Absolutos,Porcentaje
2010,01,Robo total de vehículo,BP1_5,Cara a cara / Presencial,434786,290392,66.789639
2010,01,Robo total de vehículo,BP1_5,Llamada telefónica,434786,67285,15.475429
2010,01,Robo total de vehículo,BP1_5,Internet / correo electrónico,434786,13635,3.136026
2010,01,Robo total de vehículo,BP1_5,Otro medio,434786,40399,9.291698
2010,01,Robo total de vehículo,BP1_5,Otro medio,434786,2808,0.645835
2010,01,Robo total de vehículo,BP1_5,Otro (Cód: 7),434786,10120,2.327582
2010,01,Robo total de vehículo,BP1_5,Otro (Cód: 8),434786,10083,2.319072
2010,01,Robo total de vehículo,BP1_5,No especificado,434786,64,0.01472
2010,02,Robo parcial de vehículo,BP1_5,Cara a cara / Presencial,2369345,1781184,75.17622
2010,02,Robo parcial de vehículo,BP1_5,Llamada telefónica,2369345,368062,15.534335
2010,02,Robo parcial de vehículo,BP1_5,Internet / correo electrónico,2369345,50833,2.145445
2010,02,Robo parcial de vehículo,BP1_5,Otro medio,2369345,95549,4.032718
2010,02,Robo parcial de vehículo,BP1_5,Otro medio,2369345,9394,0.396481
2010,02,Robo parcial de vehículo,BP1_5,Otro (Cód: 7),2369345,5344,0.225548
2010,02,Robo parcial de vehículo,BP1_5,Otro (Cód: 8),2369345,58684,2.476803
2010,02,Robo parcial de vehículo,BP1_5,No especificado,2369345,295,0.012451
2010,03,Vandalismo,BP1_5,Llamada telefónica,1601746,1601746,100.0
2010,04,Robo a casa habitación,BP1_5,Cara a cara / Presencial,5617621,3512244,62.521911
2010,04,Robo a casa habitación,BP1_5,Internet / correo electrónico,5617621,149771,2.666093
2010,04,Robo a casa habitación,BP1_5,Otro medio,5617621,168829,3.005347
2010,04,Robo a casa habitación,BP1_5,Otro medio,5617621,74245,1.321645
2010,04,Robo a casa habitación,BP1_5,Otro medio,5617621,1537709,27.372957
2010,04,Robo a casa habitación,BP1_5,Otro (Cód: 7),5617621,60979,1.085495
2010,04,Robo a casa habitación,BP1_5,Otro (Cód: 8),5617621,33862,0.602782
2010,04,Robo a casa habitación,BP1_5,No especificado,5617621,79982,1.42377
2010,05,Robo o asalto en calle o transporte público,BP1_5,Cara a cara / Presencial,1426278,365580,25.631749
2010,05,Robo o asalto en calle o transporte público,BP1_5,Llamada telefónica,1426278,546782,38.336285
2010,05,Robo o asalto en calle o transporte público,BP1_5,Internet / correo electrónico,1426278,175825,12.327541
2010,05,Robo o asalto en calle o transporte público,BP1_5,Otro medio,1426278,171852,12.048983
2010,05,Robo o asalto en calle o transporte público,BP1_5,Otro medio,1426278,59591,4.178077
2010,05,Robo o asalto en calle o transporte público,BP1_5,Otro medio,1426278,33494,2.34835
2010,05,Robo o asalto en calle o transporte público,BP1_5,Otro (Cód: 7),1426278,5432,0.380851
2010,05,Robo o asalto en calle o transporte público,BP1_5,Otro (Cód: 8),1426278,63364,4.442612
2010,05,Robo o asalto en calle o transporte público,BP1_5,No especificado,1426278,4358,0.305551
2010,06,Robo en forma distinta,BP1_5,Cara a cara / Presencial,1010803,162440,16.070392
2010,06,Robo en forma distinta,BP1_5,Llamada telefónica,1010803,52331,5.177171
2010,06,Robo en forma distinta,BP1_5,Internet / correo electrónico,1010803,22080,2.184402
2010,06,Robo en forma distinta,BP1_5,Otro medio,1010803,578426,57.224405
2010,06,Robo en forma distinta,BP1_5,Otro medio,1010803,2469,0.244261
2010,06,Robo en forma distinta,BP1_5,Otro (Cód: 8),1010803,185767,18.378161
2010,06,Robo en forma distinta,BP1_5,No especificado,1010803,7290,0.721209
2010,07,Fraude,BP4_1,Pago por un servicio/producto no entregado,1003742,19787,1.971323
2010,07,Fraude,BP4_1,Cheque falso o sin fondos,1003742,822639,81.957216
2010,07,Fraude,BP4_1,Dinero falso,1003742,59425,5.920346
2010,07,Fraude,BP4_1,Tarjeta de débito o crédito (Bancario),1003742,31951,3.183189
2010,07,Fraude,BP4_1,No especificado,1003742,69940,6.967926
2010,08,Extorsión,BP5_1,Telefónica,5485470,4868818,88.758447
2010,08,Extorsión,BP5_1,Laboral,5485470,74594,1.359847
2010,08,Extorsión,BP5_1,Por internet / correo,5485470,81965,1.49422
2010,08,Extorsión,BP5_1,En la calle,5485470,225693,4.114379
2010,08,Extorsión,BP5_1,En negocio propio,5485470,75436,1.375197
2010,08,Extorsión,BP5_1,Cobro de piso,5485470,12120,0.220947
2010,08,Extorsión,BP5_1,Otro,5485470,51188,0.933156
2010,08,Extorsión,BP5_1,No especificado,5485470,95656,1.743807
2010,09,Amenazas,BP1_5,Cara a cara / Presencial,1832944,847789,46.252859
2010,09,Amenazas,BP1_5,Llamada telefónica,1832944,711654,38.825736
2010,09,Amenazas,BP1_5,Internet / correo electrónico,1832944,101055,5.513262
2010,09,Amenazas,BP1_5,Otro medio,1832944,43648,2.381306
2010,09,Amenazas,BP1_5,Otro medio,1832944,21376,1.166211
2010,09,Amenazas,BP1_5,Otro medio,1832944,15158,0.826976
2010,09,Amenazas,BP1_5,Otro (Cód: 7),1832944,11176,0.609729
2010,09,Amenazas,BP1_5,Otro (Cód: 8),1832944,68918,3.759962
2010,09,Amenazas,BP1_5,No especificado,1832944,12170,0.663959
2010,10,Lesiones,BP1_5,Cara a cara / Presencial,1182473,842153,71.219639
2010,10,Lesiones,BP1_5,Llamada telefónica,1182473,172639,14.599826
2010,10,Lesiones,BP1_5,Internet / correo electrónico,1182473,23102,1.953702
2010,10,Lesiones,BP1_5,Otro medio,1182473,39578,3.347053
2010,10,Lesiones,BP1_5,Otro medio,1182473,26449,2.236753
2010,10,Lesiones,BP1_5,Otro medio,1182473,24091,2.03734
2010,10,Lesiones,BP1_5,Otro (Cód: 7),1182473,11318,0.957147
2010,10,Lesiones,BP1_5,Otro (Cód: 8),1182473,43143,3.64854
2010,11,Secuestro,BP1_5,Cara a cara / Presencial,114500,72528,63.343231
2010,11,Secuestro,BP1_5,Llamada telefónica,114500,25762,22.499563
2010,11,Secuestro,BP1_5,Internet / correo electrónico,114500,2696,2.354585
2010,11,Secuestro,BP1_5,Otro medio,114500,2365,2.065502
2010,11,Secuestro,BP1_5,Otro medio,114500,4202,3.669869
2010,11,Secuestro,BP1_5,Otro medio,114500,573,0.500437
2010,11,Secuestro,BP1_5,Otro (Cód: 7),114500,3062,2.674236
2010,11,Secuestro,BP1_5,Otro (Cód: 8),114500,3312,2.892576
2010,12,Hostigamiento / Delitos sexuales,BP1_5,Cara a cara / Presencial,724127,438676,60.579981
2010,12,Hostigamiento / Delitos sexuales,BP1_5,Llamada telefónica,724127,52144,7.200947
2010,12,Hostigamiento / Delitos sexuales,BP1_5,Internet / correo electrónico,724127,56280,7.772117
2010,12,Hostigamiento / Delitos sexuales,BP1_5,Otro medio,724127,22989,3.174719
2010,12,Hostigamiento / Delitos sexuales,BP1_5,Otro medio,724127,15484,2.138299
2010,12,Hostigamiento / Delitos sexuales,BP1_5,Otro medio,724127,129368,17.865374
2010,12,Hostigamiento / Delitos sexuales,BP1_5,Otro (Cód: 7),724127,1428,0.197203
2010,12,Hostigamiento / Delitos sexuales,BP1_5,Otro (Cód: 8),724127,7758,1.071359
2010,13,Otros delitos,BP1_5,Cara a cara / Presencial,15610,10537,67.501602
2010,13,Otros delitos,BP1_5,Llamada telefónica,15610,4038,25.868033
2010,13,Otros delitos,BP1_5,Internet / correo electrónico,15610,138,0.884049
2010,13,Otros delitos,BP1_5,Otro medio,15610,328,2.101217
