Anio,Delito,Modalidad,Delitos_total,Absolutos,Porcentaje
2010,Fraude,Internet/medios electrónicos,"6,489,212",0,0
2010,Fraude,Llamada telefónica,"6,489,212",0,0
2010,Fraude,Contacto presencial,"6,489,212",0,0
2010,Fraude,Otro,"6,489,212",0,0
2010,Extorsion,Internet/medios electrónicos,"1,832,944",0,0
2010,Extorsion,Llamada telefónica,"1,832,944",0,0
2010,Extorsion,Contacto presencial,"1,832,944",0,0
2010,Extorsion,Otro,"1,832,944",0,0
2010,Amenazas,Internet/medios electrónicos,"1,182,473",0,0
2010,Amenazas,Llamada telefónica,"1,182,473",0,0
2010,Amenazas,Contacto presencial,"1,182,473",0,0
2010,Amenazas,Otro,"1,182,473",0,0
2010,Hostigamiento,Internet/medios electrónicos,"15,610",0,0
2010,Hostigamiento,Llamada telefónica,"15,610",0,0
2010,Hostigamiento,Contacto presencial,"15,610",0,0
2010,Hostigamiento,Otro,"15,610",0,0
2011,Fraude,Internet/medios electrónicos,"5,207,915",0,0
2011,Fraude,Llamada telefónica,"5,207,915",0,0
2011,Fraude,Contacto presencial,"5,207,915",0,0
2011,Fraude,Otro,"5,207,915",0,0
2011,Extorsion,Internet/medios electrónicos,"1,752,102",0,0
2011,Extorsion,Llamada telefónica,"1,752,102",0,0
2011,Extorsion,Contacto presencial,"1,752,102",0,0
2011,Extorsion,Otro,"1,752,102",0,0
2011,Amenazas,Internet/medios electrónicos,"927,501",0,0
2011,Amenazas,Llamada telefónica,"927,501",0,0
2011,Amenazas,Contacto presencial,"927,501",0,0
2011,Amenazas,Otro,"927,501",0,0
2011,Hostigamiento,Internet/medios electrónicos,"41,406",0,0
2011,Hostigamiento,Llamada telefónica,"41,406",0,0
2011,Hostigamiento,Contacto presencial,"41,406",0,0
2011,Hostigamiento,Otro,"41,406",0,0
2013,Fraude,Internet/medios electrónicos,"3,169,461",0,0
2013,Fraude,Llamada telefónica,"3,169,461",0,0
2013,Fraude,Contacto presencial,"3,169,461",0,0
2013,Fraude,Otro,"3,169,461",0,0
2013,Extorsion,Internet/medios electrónicos,"7,794,040",0,0
2013,Extorsion,Llamada telefónica,"7,794,040",0,0
2013,Extorsion,Contacto presencial,"7,794,040",0,0
2013,Extorsion,Otro,"7,794,040",0,0
2013,Amenazas,Internet/medios electrónicos,"3,031,965",0,0
2013,Amenazas,Llamada telefónica,"3,031,965",0,0
2013,Amenazas,Contacto presencial,"3,031,965",0,0
2013,Amenazas,Otro,"3,031,965",0,0
2013,Hostigamiento,Internet/medios electrónicos,"682,238",0,0
2013,Hostigamiento,Llamada telefónica,"682,238",0,0
2013,Hostigamiento,Contacto presencial,"682,238",0,0
2013,Hostigamiento,Otro,"682,238",0,0
2014,Fraude,Internet/medios electrónicos,"3,442,757",0,0
2014,Fraude,Llamada telefónica,"3,442,757",0,0
2014,Fraude,Contacto presencial,"3,442,757",0,0
2014,Fraude,Otro,"3,442,757",0,0
2014,Extorsion,Internet/medios electrónicos,"7,969,585",0,0
2014,Extorsion,Llamada telefónica,"7,969,585",0,0
2014,Extorsion,Contacto presencial,"7,969,585",0,0
2014,Extorsion,Otro,"7,969,585",0,0
2014,Amenazas,Internet/medios electrónicos,"3,324,903",0,0
2014,Amenazas,Llamada telefónica,"3,324,903",0,0
2014,Amenazas,Contacto presencial,"3,324,903",0,0
2014,Amenazas,Otro,"3,324,903",0,0
2014,Hostigamiento,Internet/medios electrónicos,"745,170",0,0
2014,Hostigamiento,Llamada telefónica,"745,170",0,0
2014,Hostigamiento,Contacto presencial,"745,170",0,0
2014,Hostigamiento,Otro,"745,170",0,0
2015,Fraude,Internet/medios electrónicos,"3,225,165",0,0
2015,Fraude,Llamada telefónica,"3,225,165",0,0
2015,Fraude,Contacto presencial,"3,225,165",0,0
2015,Fraude,Otro,"3,225,165",0,0
2015,Extorsion,Internet/medios electrónicos,"7,100,878",0,0
2015,Extorsion,Llamada telefónica,"7,100,878",0,0
2015,Extorsion,Contacto presencial,"7,100,878",0,0
2015,Extorsion,Otro,"7,100,878",0,0
2015,Amenazas,Internet/medios electrónicos,"2,340,636",0,0
2015,Amenazas,Llamada telefónica,"2,340,636",0,0
2015,Amenazas,Contacto presencial,"2,340,636",0,0
2015,Amenazas,Otro,"2,340,636",0,0
2015,Hostigamiento,Internet/medios electrónicos,"629,151",0,0
2015,Hostigamiento,Llamada telefónica,"629,151",0,0
2015,Hostigamiento,Contacto presencial,"629,151",0,0
2015,Hostigamiento,Otro,"629,151",0,0
2016,Fraude,Internet/medios electrónicos,"3,906,132",0,0
2016,Fraude,Llamada telefónica,"3,906,132",0,0
2016,Fraude,Contacto presencial,"3,906,132",0,0
2016,Fraude,Otro,"3,906,132",0,0
2016,Extorsion,Internet/medios electrónicos,"7,503,477",0,0
2016,Extorsion,Llamada telefónica,"7,503,477",0,0
2016,Extorsion,Contacto presencial,"7,503,477",0,0
2016,Extorsion,Otro,"7,503,477",0,0
2016,Amenazas,Internet/medios electrónicos,"2,409,065",0,0
2016,Amenazas,Llamada telefónica,"2,409,065",0,0
2016,Amenazas,Contacto presencial,"2,409,065",0,0
2016,Amenazas,Otro,"2,409,065",0,0
2016,Hostigamiento,Internet/medios electrónicos,"817,975",0,0
2016,Hostigamiento,Llamada telefónica,"817,975",0,0
2016,Hostigamiento,Contacto presencial,"817,975",0,0
2016,Hostigamiento,Otro,"817,975",0,0
2017,Fraude,Internet/medios electrónicos,"4,560,683",0,0
2017,Fraude,Llamada telefónica,"4,560,683",0,0
2017,Fraude,Contacto presencial,"4,560,683",0,0
2017,Fraude,Otro,"4,560,683",0,0
2017,Extorsion,Internet/medios electrónicos,"6,590,728",0,0
2017,Extorsion,Llamada telefónica,"6,590,728",0,0
2017,Extorsion,Contacto presencial,"6,590,728",0,0
2017,Extorsion,Otro,"6,590,728",0,0
2017,Amenazas,Internet/medios electrónicos,"2,837,151",0,0
2017,Amenazas,Llamada telefónica,"2,837,151",0,0
