Año,Medio de Comisión,Registros en Muestra,Estimación Poblacional,Total Estimado del Año,% del Total del Año,Categoría
2011,No aplica (delito de hogar),"15,067.00","10,023,498.00","23,139,583.00",43.3,NO APLICA (HOGAR)
2011,Sin información,"6,800.00","7,388,354.00","23,139,583.00",31.9,SIN INFORMACIÓN
2011,Presencial,"4,451.00","4,813,716.00","23,139,583.00",20.8,PRESENCIAL
2011,Correo / mensajería física,845.00,"882,064.00","23,139,583.00",3.8,OTRO MEDIO
2011,Teléfono (sin especificar tipo),23.00,"31,951.00","23,139,583.00",0.1,TELEFÓNICO
2012,No aplica (delito de hogar),"19,198.00","11,521,352.00","22,602,305.00",51,NO APLICA (HOGAR)
2012,Sin información,"7,467.00","6,167,201.00","22,602,305.00",27.3,SIN INFORMACIÓN
2012,Presencial,"4,835.00","4,157,441.00","22,602,305.00",18.4,PRESENCIAL
2012,Correo / mensajería física,931.00,"694,208.00","22,602,305.00",3.1,OTRO MEDIO
2012,Teléfono (sin especificar tipo),33.00,"31,878.00","22,602,305.00",0.1,TELEFÓNICO
2012,Internet / redes sociales,29.00,"30,225.00","22,602,305.00",0.1,INTERNET / DIGITAL
2013,Presencial,"11,100.00","13,144,507.00","31,527,590.00",41.7,PRESENCIAL
2013,No aplica (delito de hogar),"26,437.00","9,820,466.00","31,527,590.00",31.1,NO APLICA (HOGAR)
2013,Teléfono (llamada de voz),"5,811.00","5,505,341.00","31,527,590.00",17.5,TELEFÓNICO
2013,Correo / mensajería física,"1,652.00","1,377,750.00","31,527,590.00",4.4,OTRO MEDIO
2013,Teléfono (sin especificar tipo),"1,200.00","914,624.00","31,527,590.00",2.9,TELEFÓNICO
2013,Sin información,596.00,"497,575.00","31,527,590.00",1.6,SIN INFORMACIÓN
2013,Otro medio,192.00,"169,014.00","31,527,590.00",0.5,OTRO MEDIO
2013,Internet / redes sociales,125.00,"96,000.00","31,527,590.00",0.3,INTERNET / DIGITAL
2013,Presencial con seguimiento digital,4.00,"2,313.00","31,527,590.00",0,PRESENCIAL
2014,Presencial,"13,338.00","17,805,929.00","37,241,139.00",47.8,PRESENCIAL
2014,No aplica (delito de hogar),"22,552.00","10,251,508.00","37,241,139.00",27.5,NO APLICA (HOGAR)
2014,Teléfono (llamada de voz),"5,965.00","7,323,178.00","37,241,139.00",19.7,TELEFÓNICO
2014,Teléfono (sin especificar tipo),976.00,"1,077,199.00","37,241,139.00",2.9,TELEFÓNICO
2014,Sin información,370.00,"417,504.00","37,241,139.00",1.1,SIN INFORMACIÓN
2014,Correo / mensajería física,179.00,"256,144.00","37,241,139.00",0.7,OTRO MEDIO
2014,Internet / redes sociales,74.00,"90,564.00","37,241,139.00",0.2,INTERNET / DIGITAL
2014,Otro medio,22.00,"17,429.00","37,241,139.00",0,OTRO MEDIO
2014,Presencial con seguimiento digital,2.00,"1,684.00","37,241,139.00",0,PRESENCIAL
2015,Presencial,"13,416.00","18,118,243.00","37,533,888.00",48.3,PRESENCIAL
2015,No aplica (delito de hogar),"22,746.00","9,833,563.00","37,533,888.00",26.2,NO APLICA (HOGAR)
2015,Teléfono (llamada de voz),"6,671.00","7,546,896.00","37,533,888.00",20.1,TELEFÓNICO
2015,Teléfono (sin especificar tipo),"1,079.00","1,143,511.00","37,533,888.00",3,TELEFÓNICO
2015,Sin información,410.00,"408,273.00","37,533,888.00",1.1,SIN INFORMACIÓN
2015,Correo / mensajería física,253.00,"364,864.00","37,533,888.00",1,OTRO MEDIO
2015,Internet / redes sociales,89.00,"84,196.00","37,533,888.00",0.2,INTERNET / DIGITAL
2015,Otro medio,34.00,"33,632.00","37,533,888.00",0.1,OTRO MEDIO
2015,Presencial con seguimiento digital,1.00,710.00,"37,533,888.00",0,PRESENCIAL
