Año,Categoría del Medio,Registros en Muestra,Estimación Poblacional,Total Estimado del Año,% del Total del Año
2011,NO APLICA (HOGAR),15067,10023498,23139583,43.3
2011,SIN INFORMACIÓN,6800,7388354,23139583,31.9
2011,PRESENCIAL,4451,4813716,23139583,20.8
2011,OTRO MEDIO,845,882064,23139583,3.8
2011,TELEFÓNICO,23,31951,23139583,0.1
2012,NO APLICA (HOGAR),19198,11521352,22602305,51.0
2012,SIN INFORMACIÓN,7467,6167201,22602305,27.3
2012,PRESENCIAL,4835,4157441,22602305,18.4
2012,OTRO MEDIO,931,694208,22602305,3.1
2012,TELEFÓNICO,33,31878,22602305,0.1
2012,INTERNET / DIGITAL,29,30225,22602305,0.1
2013,PRESENCIAL,11104,13146820,31527590,41.7
2013,NO APLICA (HOGAR),26437,9820466,31527590,31.1
2013,TELEFÓNICO,7011,6419965,31527590,20.4
2013,OTRO MEDIO,1844,1546764,31527590,4.9
2013,SIN INFORMACIÓN,596,497575,31527590,1.6
2013,INTERNET / DIGITAL,125,96000,31527590,0.3
2014,PRESENCIAL,13340,17807613,37241139,47.8
2014,NO APLICA (HOGAR),22552,10251508,37241139,27.5
2014,TELEFÓNICO,6941,8400377,37241139,22.6
2014,SIN INFORMACIÓN,370,417504,37241139,1.1
2014,OTRO MEDIO,201,273573,37241139,0.7
2014,INTERNET / DIGITAL,74,90564,37241139,0.2
2015,PRESENCIAL,13417,18118953,37533888,48.3
2015,NO APLICA (HOGAR),22746,9833563,37533888,26.2
2015,TELEFÓNICO,7750,8690407,37533888,23.2
2015,SIN INFORMACIÓN,410,408273,37533888,1.1
2015,OTRO MEDIO,287,398496,37533888,1.1
2015,INTERNET / DIGITAL,89,84196,37533888,0.2
2016,PRESENCIAL,12216,15146417,32045635,47.3
2016,NO APLICA (HOGAR),19685,8105116,32045635,25.3
2016,TELEFÓNICO,7276,7766628,32045635,24.2
2016,OTRO MEDIO,336,535914,32045635,1.7
2016,SIN INFORMACIÓN,440,424321,32045635,1.3
2016,INTERNET / DIGITAL,73,67239,32045635,0.2
2017,PRESENCIAL,14253,15768210,33787587,46.7
2017,TELEFÓNICO,8437,8474503,33787587,25.1
2017,NO APLICA (HOGAR),20998,8302718,33787587,24.6
2017,OTRO MEDIO,495,792252,33787587,2.3
2017,SIN INFORMACIÓN,353,360686,33787587,1.1
2017,INTERNET / DIGITAL,94,89218,33787587,0.3
2018,PRESENCIAL,15822,18145540,36449531,49.8
2018,NO APLICA (HOGAR),22032,9011398,36449531,24.7
2018,TELEFÓNICO,7821,7902874,36449531,21.7
2018,OTRO MEDIO,494,790015,36449531,2.2
2018,SIN INFORMACIÓN,364,463285,36449531,1.3
2018,INTERNET / DIGITAL,141,136419,36449531,0.4
2019,PRESENCIAL,15613,18604578,35764310,52.0
2019,NO APLICA (HOGAR),22311,8790085,35764310,24.6
2019,TELEFÓNICO,7400,7328599,35764310,20.5
2019,SIN INFORMACIÓN,421,396501,35764310,1.1
2019,OTRO MEDIO,363,362347,35764310,1.0
2019,INTERNET / DIGITAL,248,282200,35764310,0.8
2020,PRESENCIAL,13898,17752821,32590890,54.5
2020,NO APLICA (HOGAR),18000,7636222,32590890,23.4
2020,TELEFÓNICO,5746,6092004,32590890,18.7
2020,SIN INFORMACIÓN,401,445210,32590890,1.4
2020,OTRO MEDIO,282,396777,32590890,1.2
2020,INTERNET / DIGITAL,248,267856,32590890,0.8
2021,PRESENCIAL,13960,15364238,29446752,52.2
2021,TELEFÓNICO,6384,6478838,29446752,22.0
2021,NO APLICA (HOGAR),15833,6434509,29446752,21.9
2021,OTRO MEDIO,343,531808,29446752,1.8
2021,SIN INFORMACIÓN,376,390990,29446752,1.3
2021,INTERNET / DIGITAL,260,246369,29446752,0.8
2022,PRESENCIAL,13211,15474219,30031275,51.5
2022,TELEFÓNICO,6535,6867476,30031275,22.9
2022,NO APLICA (HOGAR),15515,6625953,30031275,22.1
2022,SIN INFORMACIÓN,342,422696,30031275,1.4
2022,OTRO MEDIO,299,414921,30031275,1.4
2022,INTERNET / DIGITAL,242,226010,30031275,0.8
2023,PRESENCIAL,13345,14842526,28608440,51.9
2023,TELEFÓNICO,6568,6699308,28608440,23.4
2023,NO APLICA (HOGAR),14339,6058305,28608440,21.2
2023,SIN INFORMACIÓN,405,388476,28608440,1.4
2023,OTRO MEDIO,235,344098,28608440,1.2
2023,INTERNET / DIGITAL,243,275727,28608440,1.0
2024,PRESENCIAL,14597,18212741,33423113,54.5
2024,NO APLICA (HOGAR),15563,7051487,33423113,21.1
2024,TELEFÓNICO,6449,6858416,33423113,20.5
2024,SIN INFORMACIÓN,447,578816,33423113,1.7
2024,INTERNET / DIGITAL,326,378024,33423113,1.1
2024,OTRO MEDIO,232,343629,33423113,1.0
2025,PRESENCIAL,19761,23381381,35595875,65.7
2025,NO APLICA (HOGAR),15518,6893062,35595875,19.4
2025,TELEFÓNICO,3526,3695228,35595875,10.4
2025,INTERNET / DIGITAL,1258,1333426,35595875,3.7
2025,OTRO MEDIO,211,278402,35595875,0.8
2025,SIN INFORMACIÓN,6,14376,35595875,0.0
