Año,Tipo de Delito,Medio de Comisión,Registros en Muestra,Estimación Poblacional,Total Delitos Relevantes CRT ese Año,% Dentro del Delito,Total del Delito ese Año
2011,Extorsión,Sin información,1658,1832944,8322156,100.0,1832944
2011,Fraude al consumidor,Sin información,5067,5485470,8322156,100.0,5485470
2011,Fraude bancario,Correo / mensajería física,845,882064,8322156,87.9,1003742
2011,Fraude bancario,Sin información,75,69940,8322156,7.0,1003742
2011,Fraude bancario,Teléfono (sin detalle),23,31951,8322156,3.2,1003742
2011,Fraude bancario,Presencial (cara a cara),15,19787,8322156,2.0,1003742
2012,Extorsión,Sin información,2294,1752102,6960017,100.0,1752102
2012,Fraude al consumidor,Sin información,5095,4375640,6960017,100.0,4375640
2012,Fraude bancario,Correo / mensajería física,931,694208,6960017,83.4,832275
2012,Fraude bancario,Sin información,78,39459,6960017,4.7,832275
2012,Fraude bancario,Presencial (cara a cara),36,36505,6960017,4.4,832275
2012,Fraude bancario,Teléfono (sin detalle),33,31878,6960017,3.8,832275
2012,Fraude bancario,Internet / redes sociales,29,30225,6960017,3.6,832275
2013,Extorsión,Teléfono — llamada de voz,5811,5505341,8616633,91.8,5994034
2013,Extorsión,Sin información,508,424316,8616633,7.1,5994034
2013,Extorsión,Internet / redes sociales,46,40998,8616633,0.7,5994034
2013,Extorsión,Presencial (cara a cara),19,21066,8616633,0.4,5994034
2013,Extorsión,Presencial + seguimiento digital,4,2313,8616633,0.0,5994034
2013,Fraude al consumidor,Correo / mensajería física,1377,1041747,8616633,80.3,1296842
2013,Fraude al consumidor,Otro medio,151,127614,8616633,9.8,1296842
2013,Fraude al consumidor,Sin información,61,51248,8616633,4.0,1296842
2013,Fraude al consumidor,Internet / redes sociales,45,34999,8616633,2.7,1296842
2013,Fraude al consumidor,Teléfono (sin detalle),54,28540,8616633,2.2,1296842
2013,Fraude al consumidor,Presencial (cara a cara),19,12694,8616633,1.0,1296842
2013,Fraude bancario,Teléfono (sin detalle),1146,886084,8616633,66.8,1325757
2013,Fraude bancario,Correo / mensajería física,275,336003,8616633,25.3,1325757
2013,Fraude bancario,Otro medio,41,41400,8616633,3.1,1325757
2013,Fraude bancario,Sin información,27,22011,8616633,1.7,1325757
2013,Fraude bancario,Presencial (cara a cara),28,20256,8616633,1.5,1325757
2013,Fraude bancario,Internet / redes sociales,34,20003,8616633,1.5,1325757
2014,Extorsión,Teléfono — llamada de voz,5965,7323178,10963501,94.0,7794040
2014,Extorsión,Sin información,360,410180,10963501,5.3,7794040
2014,Extorsión,Internet / redes sociales,31,43416,10963501,0.6,7794040
2014,Extorsión,Presencial (cara a cara),15,15582,10963501,0.2,7794040
2014,Extorsión,Presencial + seguimiento digital,2,1684,10963501,0.0,7794040
2014,Fraude al consumidor,Presencial (cara a cara),1594,1674891,10963501,100.0,1674891
2014,Fraude bancario,Teléfono (sin detalle),976,1077199,10963501,72.1,1494570
2014,Fraude bancario,Correo / mensajería física,179,256144,10963501,17.1,1494570
2014,Fraude bancario,Presencial (cara a cara),70,89326,10963501,6.0,1494570
2014,Fraude bancario,Internet / redes sociales,43,47148,10963501,3.2,1494570
2014,Fraude bancario,Otro medio,22,17429,10963501,1.2,1494570
2014,Fraude bancario,Sin información,10,7324,10963501,0.5,1494570
2015,Extorsión,Teléfono — llamada de voz,6671,7546896,11412342,94.7,7969585
2015,Extorsión,Sin información,391,372127,11412342,4.7,7969585
2015,Extorsión,Internet / redes sociales,34,34268,11412342,0.4,7969585
2015,Extorsión,Presencial (cara a cara),16,15584,11412342,0.2,7969585
2015,Extorsión,Presencial + seguimiento digital,1,710,11412342,0.0,7969585
2015,Fraude al consumidor,Presencial (cara a cara),1699,1698382,11412342,100.0,1698382
2015,Fraude bancario,Teléfono (sin detalle),1079,1143511,11412342,65.6,1744375
2015,Fraude bancario,Correo / mensajería física,253,364864,11412342,20.9,1744375
2015,Fraude bancario,Presencial (cara a cara),99,116294,11412342,6.7,1744375
2015,Fraude bancario,Internet / redes sociales,55,49928,11412342,2.9,1744375
