ANIO,TIPO_DELITO,MEDIO_COMISION,ESTIMACION_POBLACIONAL,REGISTROS_MUESTRA,PORCENTAJE
2012,Fraude bancario,Internet / redes sociales,64928,72,67.07
2012,Fraude bancario,Teléfono (sin especificar tipo),31878,33,32.93
2013,Extorsión,Teléfono (sin especificar tipo),5505341,5811,99.58
2013,Extorsión,Internet / redes sociales,23379,23,0.42
2013,Fraude al consumidor,Internet / redes sociales,1054815,1397,97.37
2013,Fraude al consumidor,Teléfono (sin especificar tipo),28540,54,2.63
2013,Fraude bancario,Teléfono (sin especificar tipo),886084,1146,90.43
2013,Fraude bancario,Internet / redes sociales,93776,110,9.57
2014,Extorsión,Teléfono (sin especificar tipo),7323178,5965,99.76
2014,Extorsión,Internet / redes sociales,17266,17,0.24
2014,Fraude bancario,Teléfono (sin especificar tipo),1077199,976,80.34
2014,Fraude bancario,Internet / redes sociales,263634,197,19.66
2015,Extorsión,Teléfono (sin especificar tipo),7546896,6671,99.78
2015,Extorsión,Internet / redes sociales,16294,17,0.22
2015,Fraude bancario,Teléfono (sin especificar tipo),1143511,1079,75.25
2015,Fraude bancario,Internet / redes sociales,376059,291,24.75
2016,Extorsión,Teléfono (sin especificar tipo),6677177,6207,99.97
2016,Extorsión,Internet / redes sociales,2318,7,0.03
2016,Fraude bancario,Teléfono (sin especificar tipo),1089451,1069,67.13
2016,Fraude bancario,Internet / redes sociales,533551,329,32.87
2017,Extorsión,Teléfono (sin especificar tipo),7170019,7008,99.87
2017,Extorsión,Internet / redes sociales,9217,11,0.13
2017,Fraude bancario,Teléfono (sin especificar tipo),1304484,1429,62.15
2017,Fraude bancario,Internet / redes sociales,794279,511,37.85
2018,Extorsión,Teléfono (sin especificar tipo),6139618,6024,99.9
2018,Extorsión,Internet / redes sociales,6356,5,0.1
2018,Fraude bancario,Teléfono (sin especificar tipo),1763256,1797,68.78
2018,Fraude bancario,Internet / redes sociales,800469,513,31.22
2019,Extorsión,Teléfono (sin especificar tipo),5235399,5247,99.46
2019,Extorsión,Internet / redes sociales,28330,23,0.54
2019,Fraude bancario,Teléfono (sin especificar tipo),2093200,2153,80.35
2019,Fraude bancario,Internet / redes sociales,511994,512,19.65
2020,Extorsión,Teléfono (sin especificar tipo),4103683,3767,99.26
2020,Extorsión,Internet / redes sociales,30568,24,0.74
2020,Fraude bancario,Teléfono (sin especificar tipo),1988321,1979,79.49
2020,Fraude bancario,Internet / redes sociales,513051,389,20.51
2021,Extorsión,Teléfono (sin especificar tipo),4229131,4010,99.3
2021,Extorsión,Internet / redes sociales,29963,41,0.7
2021,Fraude bancario,Teléfono (sin especificar tipo),2249707,2374,77.83
2021,Fraude bancario,Internet / redes sociales,640649,456,22.17
2022,Extorsión,Teléfono (sin especificar tipo),4432202,4203,99.26
2022,Extorsión,Internet / redes sociales,33064,39,0.74
2022,Fraude bancario,Teléfono (sin especificar tipo),2435274,2332,82.33
2022,Fraude bancario,Internet / redes sociales,522616,428,17.67
2023,Extorsión,Teléfono (sin especificar tipo),4258130,4116,98.8
2023,Extorsión,Internet / redes sociales,51623,57,1.2
2023,Fraude bancario,Teléfono (sin especificar tipo),2441178,2452,82.64
2023,Fraude bancario,Internet / redes sociales,512873,370,17.36
2024,Extorsión,Teléfono (sin especificar tipo),4194543,3893,97.94
2024,Extorsión,Internet / redes sociales,88319,90,2.06
2024,Fraude bancario,Teléfono (sin especificar tipo),2663873,2556,81.75
2024,Fraude bancario,Internet / redes sociales,594795,432,18.25
2025,Extorsión,Internet / redes sociales,982361,935,62.27
2025,Extorsión,Teléfono (sin especificar tipo),526740,501,33.39
2025,Extorsión,Teléfono (SMS / WhatsApp / mensaje),47926,45,3.04
2025,Extorsión,Teléfono (llamada de voz),20530,13,1.3
2025,Fraude bancario,Teléfono (sin especificar tipo),3100032,2967,84.64
2025,Fraude bancario,Internet / redes sociales,562655,480,15.36
