año,total_registros,total_estimado,digitales_estimados,pct_digital
2011,27186,23139583.0,31951.0,0.1
2012,32493,22602305.0,62103.0,0.3
2013,47117,31527590.0,6515965.0,20.7
2014,43478,37241139.0,8490941.0,22.8
2015,44699,37533888.0,8774603.0,23.4
2016,40026,32045635.0,7833867.0,24.4
2017,44630,33787587.0,8563721.0,25.3
2018,46674,36449531.0,8039293.0,22.1
2019,46356,35764310.0,7610799.0,21.3
2020,38575,32590890.0,6359860.0,19.5
2021,37156,29446752.0,6725207.0,22.8
2022,36144,30031275.0,7093486.0,23.6
2023,35135,28608440.0,6975035.0,24.4
2024,37614,33423113.0,7236440.0,21.7
2025,40280,35595875.0,5028654.0,14.1
