año,delito,medio_etiqueta,registros,estimacion
2011,Amenazas,Presencial (cara a cara),980,1182473.0
2011,Extorsión,Sin información,1658,1832944.0
2011,Fraude al consumidor,Sin información,5067,5485470.0
2011,Fraude bancario,Correo / mensajería física,845,882064.0
2011,Fraude bancario,Sin información,75,69940.0
2011,Fraude bancario,Teléfono (sin detalle),23,31951.0
2011,Fraude bancario,Presencial (cara a cara),15,19787.0
2011,Hostigamiento / abuso sexual,Presencial (cara a cara),22,15610.0
2011,Lesiones físicas,Presencial (cara a cara),86,114500.0
2011,Robo / asalto en calle o transporte,Presencial (cara a cara),1470,1426278.0
2011,Robo a casa habitación,No aplica (delito de hogar),4126,5617621.0
2011,Robo de accesorios de vehículo,No aplica (delito de hogar),5642,2369345.0
2011,Robo en otra forma,Presencial (cara a cara),942,1010803.0
2011,Robo total de vehículo,No aplica (delito de hogar),1232,434786.0
2011,Secuestro,Presencial (cara a cara),580,724127.0
2011,Vandalismo / daño a propiedad,No aplica (delito de hogar),4067,1601746.0
2011,Violación sexual,Presencial (cara a cara),356,320138.0
2012,Amenazas,Presencial (cara a cara),1063,927501.0
2012,Extorsión,Sin información,2294,1752102.0
2012,Fraude al consumidor,Sin información,5095,4375640.0
2012,Fraude bancario,Correo / mensajería física,931,694208.0
2012,Fraude bancario,Sin información,78,39459.0
2012,Fraude bancario,Presencial (cara a cara),36,36505.0
2012,Fraude bancario,Teléfono (sin detalle),33,31878.0
2012,Fraude bancario,Internet / redes sociales,29,30225.0
2012,Hostigamiento / abuso sexual,Presencial (cara a cara),74,41406.0
2012,Lesiones físicas,Presencial (cara a cara),81,98846.0
2012,Robo / asalto en calle o transporte,Presencial (cara a cara),1227,1108614.0
2012,Robo a casa habitación,No aplica (delito de hogar),5066,6633702.0
2012,Robo de accesorios de vehículo,No aplica (delito de hogar),7316,2549418.0
2012,Robo en otra forma,Presencial (cara a cara),1407,1102434.0
2012,Robo total de vehículo,No aplica (delito de hogar),1655,611371.0
2012,Secuestro,Presencial (cara a cara),790,740477.0
2012,Vandalismo / daño a propiedad,No aplica (delito de hogar),5161,1726861.0
2012,Violación sexual,Presencial (cara a cara),157,101658.0
2013,Amenazas,Presencial (cara a cara),3038,2854710.0
2013,Extorsión,Teléfono — llamada de voz,5811,5505341.0
2013,Extorsión,Sin información,508,424316.0
2013,Extorsión,Internet / redes sociales,46,40998.0
2013,Extorsión,Presencial (cara a cara),19,21066.0
2013,Extorsión,Presencial + seguimiento digital,4,2313.0
2013,Fraude al consumidor,Correo / mensajería física,1377,1041747.0
2013,Fraude al consumidor,Otro medio,151,127614.0
2013,Fraude al consumidor,Sin información,61,51248.0
2013,Fraude al consumidor,Internet / redes sociales,45,34999.0
2013,Fraude al consumidor,Teléfono (sin detalle),54,28540.0
2013,Fraude al consumidor,Presencial (cara a cara),19,12694.0
2013,Fraude bancario,Teléfono (sin detalle),1146,886084.0
2013,Fraude bancario,Correo / mensajería física,275,336003.0
2013,Fraude bancario,Otro medio,41,41400.0
2013,Fraude bancario,Sin información,27,22011.0
2013,Fraude bancario,Presencial (cara a cara),28,20256.0
2013,Fraude bancario,Internet / redes sociales,34,20003.0
2013,Hostigamiento / abuso sexual,Presencial (cara a cara),485,577716.0
2013,Lesiones físicas,Presencial (cara a cara),1012,1087761.0
2013,Otro delito,Presencial (cara a cara),81,62806.0
2013,Robo / asalto en calle o transporte,Presencial (cara a cara),5821,7931693.0
2013,Robo a casa habitación,No aplica (delito de hogar),6266,2099285.0
2013,Robo de accesorios de vehículo,No aplica (delito de hogar),8726,3340576.0
2013,Robo en otra forma,Presencial (cara a cara),434,396846.0
2013,Robo total de vehículo,No aplica (delito de hogar),1588,622462.0
2013,Secuestro,Presencial (cara a cara),82,89086.0
2013,Vandalismo / daño a propiedad,No aplica (delito de hogar),9857,3758143.0
2013,Violación sexual,Presencial (cara a cara),81,89873.0
2014,Amenazas,Presencial (cara a cara),3008,3031965.0
2014,Extorsión,Teléfono — llamada de voz,5965,7323178.0
2014,Extorsión,Sin información,360,410180.0
2014,Extorsión,Internet / redes sociales,31,43416.0
2014,Extorsión,Presencial (cara a cara),15,15582.0
2014,Extorsión,Presencial + seguimiento digital,2,1684.0
2014,Fraude al consumidor,Presencial (cara a cara),1594,1674891.0
2014,Fraude bancario,Teléfono (sin detalle),976,1077199.0
2014,Fraude bancario,Correo / mensajería física,179,256144.0
2014,Fraude bancario,Presencial (cara a cara),70,89326.0
2014,Fraude bancario,Internet / redes sociales,43,47148.0
2014,Fraude bancario,Otro medio,22,17429.0
2014,Fraude bancario,Sin información,10,7324.0
2014,Hostigamiento / abuso sexual,Presencial (cara a cara),575,682238.0
2014,Lesiones físicas,Presencial (cara a cara),919,1038026.0
2014,Otro delito,Presencial (cara a cara),120,88903.0
2014,Robo / asalto en calle o transporte,Presencial (cara a cara),5424,9787891.0
2014,Robo a casa habitación,No aplica (delito de hogar),5804,2141103.0
2014,Robo de accesorios de vehículo,No aplica (delito de hogar),7349,3358372.0
2014,Robo en otra forma,Presencial (cara a cara),1455,1213624.0
2014,Robo total de vehículo,No aplica (delito de hogar),1235,601157.0
2014,Secuestro,Presencial (cara a cara),76,85821.0
2014,Vandalismo / daño a propiedad,No aplica (delito de hogar),8164,4150876.0
2014,Violación sexual,Presencial (cara a cara),82,97662.0
2015,Amenazas,Presencial (cara a cara),3022,3324903.0
2015,Extorsión,Teléfono — llamada de voz,6671,7546896.0
2015,Extorsión,Sin información,391,372127.0
2015,Extorsión,Internet / redes sociales,34,34268.0
2015,Extorsión,Presencial (cara a cara),16,15584.0
2015,Extorsión,Presencial + seguimiento digital,1,710.0
2015,Fraude al consumidor,Presencial (cara a cara),1699,1698382.0
2015,Fraude bancario,Teléfono (sin detalle),1079,1143511.0
2015,Fraude bancario,Correo / mensajería física,253,364864.0
2015,Fraude bancario,Presencial (cara a cara),99,116294.0
2015,Fraude bancario,Internet / redes sociales,55,49928.0
2015,Fraude bancario,Sin información,19,36146.0
2015,Fraude bancario,Otro medio,34,33632.0
2015,Hostigamiento / abuso sexual,Presencial (cara a cara),552,745170.0
2015,Lesiones físicas,Presencial (cara a cara),950,1159244.0
2015,Otro delito,Presencial (cara a cara),91,64576.0
2015,Robo / asalto en calle o transporte,Presencial (cara a cara),5357,9631471.0
2015,Robo a casa habitación,No aplica (delito de hogar),5651,2050088.0
2015,Robo de accesorios de vehículo,No aplica (delito de hogar),7685,3408567.0
2015,Robo en otra forma,Presencial (cara a cara),1482,1192869.0
2015,Robo total de vehículo,No aplica (delito de hogar),1131,545052.0
2015,Secuestro,Presencial (cara a cara),81,79263.0
2015,Vandalismo / daño a propiedad,No aplica (delito de hogar),8279,3829856.0
2015,Violación sexual,Presencial (cara a cara),67,90487.0
2016,Amenazas,Presencial (cara a cara),2531,2340636.0
2016,Extorsión,Teléfono — llamada de voz,6207,6677177.0
2016,Extorsión,Sin información,410,394603.0
2016,Extorsión,Internet / redes sociales,31,26780.0
2016,Extorsión,Presencial (cara a cara),7,2318.0
2016,Fraude al consumidor,Presencial (cara a cara),1623,1454341.0
2016,Fraude bancario,Teléfono (sin detalle),1069,1089451.0
2016,Fraude bancario,Correo / mensajería física,305,507457.0
2016,Fraude bancario,Presencial (cara a cara),73,75282.0
2016,Fraude bancario,Internet / redes sociales,42,40459.0
2016,Fraude bancario,Sin información,30,29718.0
2016,Fraude bancario,Otro medio,31,28457.0
2016,Hostigamiento / abuso sexual,Presencial (cara a cara),561,629151.0
2016,Lesiones físicas,Presencial (cara a cara),1134,1072610.0
2016,Otro delito,Presencial (cara a cara),91,89008.0
2016,Robo / asalto en calle o transporte,Presencial (cara a cara),4839,8252297.0
2016,Robo a casa habitación,No aplica (delito de hogar),5598,2061119.0
2016,Robo de accesorios de vehículo,No aplica (delito de hogar),6679,2854511.0
2016,Robo en otra forma,Presencial (cara a cara),1202,1088607.0
2016,Robo total de vehículo,No aplica (delito de hogar),965,452001.0
2016,Secuestro,Presencial (cara a cara),63,66128.0
2016,Vandalismo / daño a propiedad,No aplica (delito de hogar),6443,2737485.0
2016,Violación sexual,Presencial (cara a cara),92,76039.0
2017,Amenazas,Presencial (cara a cara),2742,2409065.0
2017,Extorsión,Teléfono — llamada de voz,7008,7170019.0
2017,Extorsión,Sin información,332,294430.0
2017,Extorsión,Internet / redes sociales,35,29811.0
2017,Extorsión,Presencial (cara a cara),9,7898.0
2017,Extorsión,Presencial + seguimiento digital,2,1319.0
2017,Fraude al consumidor,Presencial (cara a cara),1799,1606472.0
2017,Fraude bancario,Teléfono (sin detalle),1429,1304484.0
2017,Fraude bancario,Correo / mensajería física,472,763211.0
2017,Fraude bancario,Presencial (cara a cara),83,77261.0
2017,Fraude bancario,Sin información,21,66256.0
2017,Fraude bancario,Internet / redes sociales,59,59407.0
2017,Fraude bancario,Otro medio,23,29041.0
2017,Hostigamiento / abuso sexual,Presencial (cara a cara),707,817975.0
2017,Lesiones físicas,Presencial (cara a cara),982,968451.0
2017,Otro delito,Presencial (cara a cara),121,107844.0
2017,Robo / asalto en calle o transporte,Presencial (cara a cara),5818,8052656.0
2017,Robo a casa habitación,No aplica (delito de hogar),5799,2044594.0
2017,Robo de accesorios de vehículo,No aplica (delito de hogar),7475,3029486.0
2017,Robo en otra forma,Presencial (cara a cara),1832,1578411.0
2017,Robo total de vehículo,No aplica (delito de hogar),1106,493727.0
2017,Secuestro,Presencial (cara a cara),76,79864.0
2017,Vandalismo / daño a propiedad,No aplica (delito de hogar),6618,2734911.0
2017,Violación sexual,Presencial (cara a cara),82,60994.0
2018,Amenazas,Presencial (cara a cara),2797,2837151.0
2018,Extorsión,Teléfono — llamada de voz,6024,6139618.0
2018,Extorsión,Sin información,342,425104.0
2018,Extorsión,Internet / redes sociales,30,19650.0
