año,medio_etiqueta,registros,estimacion
2011,No aplica (delito de hogar),15067,10023498.0
2011,Sin información,6800,7388354.0
2011,Presencial (cara a cara),4451,4813716.0
2011,Correo / mensajería física,845,882064.0
2011,Teléfono (sin detalle),23,31951.0
2012,No aplica (delito de hogar),19198,11521352.0
2012,Sin información,7467,6167201.0
2012,Presencial (cara a cara),4835,4157441.0
2012,Correo / mensajería física,931,694208.0
2012,Teléfono (sin detalle),33,31878.0
2012,Internet / redes sociales,29,30225.0
2013,Presencial (cara a cara),11100,13144507.0
2013,No aplica (delito de hogar),26437,9820466.0
2013,Teléfono — llamada de voz,5811,5505341.0
2013,Correo / mensajería física,1652,1377750.0
2013,Teléfono (sin detalle),1200,914624.0
2013,Sin información,596,497575.0
2013,Otro medio,192,169014.0
2013,Internet / redes sociales,125,96000.0
2013,Presencial + seguimiento digital,4,2313.0
2014,Presencial (cara a cara),13338,17805929.0
2014,No aplica (delito de hogar),22552,10251508.0
2014,Teléfono — llamada de voz,5965,7323178.0
2014,Teléfono (sin detalle),976,1077199.0
2014,Sin información,370,417504.0
2014,Correo / mensajería física,179,256144.0
2014,Internet / redes sociales,74,90564.0
2014,Otro medio,22,17429.0
2014,Presencial + seguimiento digital,2,1684.0
2015,Presencial (cara a cara),13416,18118243.0
2015,No aplica (delito de hogar),22746,9833563.0
2015,Teléfono — llamada de voz,6671,7546896.0
2015,Teléfono (sin detalle),1079,1143511.0
2015,Sin información,410,408273.0
2015,Correo / mensajería física,253,364864.0
2015,Internet / redes sociales,89,84196.0
2015,Otro medio,34,33632.0
2015,Presencial + seguimiento digital,1,710.0
2016,Presencial (cara a cara),12216,15146417.0
2016,No aplica (delito de hogar),19685,8105116.0
2016,Teléfono — llamada de voz,6207,6677177.0
2016,Teléfono (sin detalle),1069,1089451.0
2016,Correo / mensajería física,305,507457.0
2016,Sin información,440,424321.0
2016,Internet / redes sociales,73,67239.0
2016,Otro medio,31,28457.0
2017,Presencial (cara a cara),14251,15766891.0
2017,No aplica (delito de hogar),20998,8302718.0
2017,Teléfono — llamada de voz,7008,7170019.0
2017,Teléfono (sin detalle),1429,1304484.0
2017,Correo / mensajería física,472,763211.0
2017,Sin información,353,360686.0
2017,Internet / redes sociales,94,89218.0
2017,Otro medio,23,29041.0
2017,Presencial + seguimiento digital,2,1319.0
2018,Presencial (cara a cara),15822,18145540.0
2018,No aplica (delito de hogar),22032,9011398.0
2018,Teléfono — llamada de voz,6024,6139618.0
2018,Teléfono (sin detalle),1797,1763256.0
2018,Correo / mensajería física,425,720010.0
2018,Sin información,364,463285.0
2018,Internet / redes sociales,141,136419.0
2018,Otro medio,69,70005.0
2019,Presencial (cara a cara),15609,18601033.0
2019,No aplica (delito de hogar),22311,8790085.0
2019,Teléfono — llamada de voz,5247,5235399.0
2019,Teléfono (sin detalle),2153,2093200.0
2019,Sin información,421,396501.0
2019,Correo / mensajería física,333,321441.0
2019,Internet / redes sociales,248,282200.0
2019,Otro medio,30,40906.0
2019,Presencial + seguimiento digital,4,3545.0
2020,Presencial (cara a cara),13895,17747656.0
2020,No aplica (delito de hogar),18000,7636222.0
2020,Teléfono — llamada de voz,3767,4103683.0
2020,Teléfono (sin detalle),1979,1988321.0
2020,Sin información,401,445210.0
2020,Correo / mensajería física,211,335415.0
2020,Internet / redes sociales,248,267856.0
2020,Otro medio,71,61362.0
2020,Presencial + seguimiento digital,3,5165.0
2021,Presencial (cara a cara),13951,15357754.0
2021,No aplica (delito de hogar),15833,6434509.0
2021,Teléfono — llamada de voz,4010,4229131.0
2021,Teléfono (sin detalle),2374,2249707.0
2021,Correo / mensajería física,244,446530.0
2021,Sin información,376,390990.0
2021,Internet / redes sociales,260,246369.0
2021,Otro medio,99,85278.0
2021,Presencial + seguimiento digital,9,6484.0
2022,Presencial (cara a cara),13205,15466512.0
2022,No aplica (delito de hogar),15515,6625953.0
2022,Teléfono — llamada de voz,4203,4432202.0
2022,Teléfono (sin detalle),2332,2435274.0
2022,Sin información,342,422696.0
2022,Correo / mensajería física,233,343550.0
2022,Internet / redes sociales,242,226010.0
2022,Otro medio,66,71371.0
2022,Presencial + seguimiento digital,6,7707.0
2023,Presencial (cara a cara),13332,14829577.0
2023,No aplica (delito de hogar),14339,6058305.0
2023,Teléfono — llamada de voz,4116,4258130.0
2023,Teléfono (sin detalle),2452,2441178.0
2023,Sin información,405,388476.0
2023,Correo / mensajería física,185,289782.0
2023,Internet / redes sociales,243,275727.0
2023,Otro medio,50,54316.0
2023,Presencial + seguimiento digital,13,12949.0
2024,Presencial (cara a cara),14573,18189951.0
2024,No aplica (delito de hogar),15563,7051487.0
2024,Teléfono — llamada de voz,3893,4194543.0
2024,Teléfono (sin detalle),2556,2663873.0
2024,Sin información,447,578816.0
2024,Internet / redes sociales,326,378024.0
2024,Correo / mensajería física,166,283480.0
2024,Otro medio,66,60149.0
2024,Presencial + seguimiento digital,24,22790.0
2025,Presencial (cara a cara),19375,22966416.0
2025,No aplica (delito de hogar),15518,6893062.0
2025,Teléfono (sin detalle),2967,3100032.0
2025,Internet / redes sociales,1258,1333426.0
2025,Teléfono — llamada de voz,514,547270.0
2025,Presencial + seguimiento digital,386,414965.0
2025,Correo / mensajería física,169,224843.0
2025,Otro medio,42,53559.0
2025,Teléfono — SMS / WhatsApp,45,47926.0
2025,Sin información,6,14376.0
