año,delito,medio_etiqueta,estimacion
2013,Extorsión,Internet / redes sociales,40998.0
2013,Extorsión,Teléfono — llamada de voz,5505341.0
2014,Extorsión,Internet / redes sociales,43416.0
2014,Extorsión,Teléfono — llamada de voz,7323178.0
2015,Extorsión,Internet / redes sociales,34268.0
2015,Extorsión,Teléfono — llamada de voz,7546896.0
2016,Extorsión,Internet / redes sociales,26780.0
2016,Extorsión,Teléfono — llamada de voz,6677177.0
2017,Extorsión,Internet / redes sociales,29811.0
2017,Extorsión,Teléfono — llamada de voz,7170019.0
2018,Extorsión,Internet / redes sociales,19650.0
2018,Extorsión,Teléfono — llamada de voz,6139618.0
2019,Extorsión,Internet / redes sociales,72542.0
2019,Extorsión,Teléfono — llamada de voz,5235399.0
2020,Extorsión,Internet / redes sociales,59496.0
2020,Extorsión,Teléfono — llamada de voz,4103683.0
2021,Extorsión,Internet / redes sociales,30393.0
2021,Extorsión,Teléfono — llamada de voz,4229131.0
2022,Extorsión,Internet / redes sociales,24434.0
2022,Extorsión,Teléfono — llamada de voz,4432202.0
2023,Extorsión,Internet / redes sociales,32512.0
2023,Extorsión,Teléfono — llamada de voz,4258130.0
2024,Extorsión,Internet / redes sociales,48198.0
2024,Extorsión,Teléfono — llamada de voz,4194543.0
2025,Extorsión,Internet / redes sociales,982361.0
2025,Extorsión,Teléfono — SMS / WhatsApp,47926.0
2025,Extorsión,Teléfono — llamada de voz,547270.0
2013,Fraude al consumidor,Internet / redes sociales,34999.0
2013,Fraude al consumidor,Teléfono (sin detalle),28540.0
2011,Fraude bancario,Teléfono (sin detalle),31951.0
2012,Fraude bancario,Internet / redes sociales,30225.0
2012,Fraude bancario,Teléfono (sin detalle),31878.0
2013,Fraude bancario,Internet / redes sociales,20003.0
2013,Fraude bancario,Teléfono (sin detalle),886084.0
2014,Fraude bancario,Internet / redes sociales,47148.0
2014,Fraude bancario,Teléfono (sin detalle),1077199.0
2015,Fraude bancario,Internet / redes sociales,49928.0
2015,Fraude bancario,Teléfono (sin detalle),1143511.0
2016,Fraude bancario,Internet / redes sociales,40459.0
2016,Fraude bancario,Teléfono (sin detalle),1089451.0
2017,Fraude bancario,Internet / redes sociales,59407.0
2017,Fraude bancario,Teléfono (sin detalle),1304484.0
2018,Fraude bancario,Internet / redes sociales,116769.0
2018,Fraude bancario,Teléfono (sin detalle),1763256.0
2019,Fraude bancario,Internet / redes sociales,209658.0
2019,Fraude bancario,Teléfono (sin detalle),2093200.0
2020,Fraude bancario,Internet / redes sociales,208360.0
2020,Fraude bancario,Teléfono (sin detalle),1988321.0
2021,Fraude bancario,Internet / redes sociales,215976.0
2021,Fraude bancario,Teléfono (sin detalle),2249707.0
2022,Fraude bancario,Internet / redes sociales,201576.0
2022,Fraude bancario,Teléfono (sin detalle),2435274.0
2023,Fraude bancario,Internet / redes sociales,243215.0
2023,Fraude bancario,Teléfono (sin detalle),2441178.0
2024,Fraude bancario,Internet / redes sociales,329826.0
2024,Fraude bancario,Teléfono (sin detalle),2663873.0
2025,Fraude bancario,Internet / redes sociales,351065.0
2025,Fraude bancario,Teléfono (sin detalle),3100032.0
