edicion_envipe,anio_referencia,archivo_zip,archivo_dbf,sha256_zip,registros_tmod_vic,suma_fac_del_todos_registros,variables_leidas,campo_estrato_detectado,campo_upm_detectado,inventario_estructura_estado,inventario_estructura_faltantes,precision_calculada,advertencia
2011,2010,conjunto_de_datos\base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,d6c660f00ca2179dcabf59a9af166d7605793eed48c6eb84bcd8d24f39bd2ce4,27186,23139583.0,BP4_1|BP5_1|BPCOD|CONTROL|EST|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|VIV_SEL,EST,UPM,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
2012,2011,conjunto_de_datos\base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,d7caa74ea4264d59fecfc1d1959824051adfe43613514e2e5ca22f24f31548f5,32493,22602305.0,BP4_1|BP5_1|BPCOD|CONTROL|EST|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|VIV_SEL,EST,UPM,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
2013,2012,conjunto_de_datos\bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,47117,31527590.0,BP4_1|BP5_1|BPCOD|CONTROL|EST|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|VIV_SEL,EST,UPM,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
2014,2013,conjunto_de_datos\bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,43478,37241139.0,BP4_1|BP5_1|BPCOD|CONTROL|EST|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|VIV_SEL,EST,UPM,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
2015,2014,conjunto_de_datos\bd_envipe2015_dbf.zip,TMod_Vic.dbf,6c2fcb165a179b0ca5e7d956a3673b375d26309be5a4748eabc31545add66a8d,44699,37533888.0,BP4_1|BP5_1|BPCOD|EST_DIS|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|UPM_DIS|VIV_SEL,EST_DIS,UPM_DIS,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
2016,2015,conjunto_de_datos\bd_envipe2016_dbf.zip,TMod_Vic.dbf,8c939550590bbb7941c65a2c9a3d87d8654cfe529e969f51265fe65974ef68a4,40026,32045635.0,BP4_1|BP5_1|BPCOD|EST_DIS|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|UPM_DIS|VIV_SEL,EST_DIS,UPM_DIS,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
2017,2016,conjunto_de_datos\bd_envipe2017_dbf.zip,BASE_DE_DATOS_ENVIPE_2017_en/TMod_Vic.dbf,86df9910dae338d4c4487e6760e8e3ba1a752c8a8fcda967a8af152ad49d8f74,44630,33787587.0,BP4_1|BP5_1|BPCOD|EST_DIS|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|UPM_DIS|VIV_SEL,EST_DIS,UPM_DIS,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
2018,2017,conjunto_de_datos\bd_envipe2018_dbf.zip,BASE_DE_DATOS_ENVIPE_2018_dbf/TMod_Vic.dbf,8f0b102637183047f9123972e369fade1bf056f8f0a19801d36798f290b37cfb,46674,36449531.0,BP4_1|BP5_1|BPCOD|EST_DIS|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|UPM_DIS|VIV_SEL,EST_DIS,UPM_DIS,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
2019,2018,conjunto_de_datos\bd_envipe2019_dbf.zip,TMod_Vic.dbf,f7cb0d6f3317cfa0ad1beb071704267da17ecd8b7e8faeb9e7942a27c86c0046,46356,35764310.0,BP4_1|BP5_1|BPCOD|EST_DIS|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|UPM_DIS|VIV_SEL,EST_DIS,UPM_DIS,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
2020,2019,conjunto_de_datos\bd_envipe_2020_dbf.zip,bd_envipe_2020_dbf/TMod_Vic.dbf,8d12bb0f71f13693367320c35cabfc1f7734a455ab43918856b16f83afb75348,38575,32590890.0,BP4_1|BP5_1|BPCOD|EST_DIS|FAC_DEL|HOGAR|ND_TIPO|R_SEL|UPM|UPM_DIS|VIV_SEL,EST_DIS,UPM_DIS,Correcto,,No,"Estimaciones puntuales: calcular EE, CV e IC con diseño complejo antes de publicar."
